TCRD ID	TDL	IDG_Family	IDG_Family_Extended	Name	UniProt
5768	Tbio			FAN_HUMAN	Q92636
5769	Tdark			FBX16_HUMAN	Q8IX29
5770	Tdark			FBX24_HUMAN	O75426
5771	Tdark			FBX28_HUMAN	Q9NVF7
5772	Tdark			FBX48_HUMAN	Q5FWF7
5773	Tbio			FBX8_HUMAN	Q9NRD0
5774	Tdark			FBXL8_HUMAN	Q96CD0
5775	Tbio		MS4A_family	FCERB_HUMAN	Q01362
5776	Tdark			FCF1_HUMAN	Q9Y324
5777	Tbio			FCG3A_HUMAN	P08637
5778	Tbio			FCHO1_HUMAN	O14526
5779	Tbio			FCRL4_HUMAN	Q96PJ5
5780	Tbio			FCRLA_HUMAN	Q7L513
5781	Tbio			FEM1C_HUMAN	Q96JP0
5782	Tdark	Enzyme	type-B carboxylesterase/lipase	EST4A_HUMAN	Q5XG92
5783	Tbio	Enzyme	type-B carboxylesterase/lipase	EST5A_HUMAN	Q6NT32
5784	Tdark			ETAA1_HUMAN	Q9NY74
5785	Tbio	TF	TF	ETS2_HUMAN	P15036
5786	Tbio	TF; Epigenetic	TF	EVI1_HUMAN	Q03112
5787	Tbio			EVPL_HUMAN	Q92817
5788	Tdark	Enzyme		EXD2_HUMAN	Q9NVH0
5789	Tbio	Enzyme	glycosyltransferase	EXT2_HUMAN	Q93063
5790	Tbio	Enzyme	glycosyltransferase	EXTL2_HUMAN	Q9UBQ6
5791	Tchem	Epigenetic		EZH2_HUMAN	Q15910
5792	Tbio			F101B_HUMAN	Q8N5W9
5793	Tdark			F102B_HUMAN	Q5T8I3
5794	Tdark			F106A_HUMAN	Q4KMX7
5795	Tdark			F106C_HUMAN	P0CH98
5796	Tdark			F153C_HUMAN	Q494X1
5797	Tdark			F167B_HUMAN	Q9BTA0
5798	Tdark			F168B_HUMAN	A1KXE4
5799	Tdark			F16B1_HUMAN	Q5W0V3
5800	Tchem	Enzyme	phosphatase	F16P1_HUMAN	P09467
5801	Tbio	Enzyme	phosphatase	F16P2_HUMAN	O00757
5802	Tdark			F172B_HUMAN	A6NC97
5803	Tdark			F177B_HUMAN	A6PVY3
5804	Tdark			F183A_HUMAN	A6NL82
5805	Tdark			F185A_HUMAN	Q8N0U4
5806	Tdark			F204A_HUMAN	Q9H8W3
5807	Tdark			F212B_HUMAN	Q9NTI7
5808	Tdark			F214A_HUMAN	Q32MH5
5809	Tdark			F221A_HUMAN	A4D161
5810	Tdark			F221B_HUMAN	A6H8Z2
5811	Tdark			F223A_HUMAN	Q8IWN6
5812	Tdark			F228A_HUMAN	Q86W67
5813	Tdark			F71E2_HUMAN	Q8N5Q1
5814	Tdark			F90AA_HUMAN	A6NDY2
5815	Tdark			F90AJ_HUMAN	P0C7V4
5816	Tdark	IC	IC	FA26F_HUMAN	Q5R3K3
5817	Tdark			FA35A_HUMAN	Q86V20
5818	Tdark			FA46B_HUMAN	Q96A09
5819	Tdark			FA47E_HUMAN	Q6ZV65
5820	Tdark			FA57B_HUMAN	Q71RH2
5821	Tdark			FA58A_HUMAN	Q8N1B3
5822	Tdark			FA64A_HUMAN	Q9BSJ6
5823	Tdark			FA73A_HUMAN	Q8NAN2
5824	Tchem	Enzyme	peptidase	FA7_HUMAN	P08709
5825	Tbio			FA83A_HUMAN	Q86UY5
5826	Tdark			FA83C_HUMAN	Q9BQN1
5827	Tdark			FA83G_HUMAN	A6ND36
5828	Tdark			FA89A_HUMAN	Q96GI7
5829	Tdark			FA98A_HUMAN	Q8NCA5
5830	Tdark			FAAS1_HUMAN	Q96KT0
5831	Tchem		calycin superfamily	FABPH_HUMAN	P05413
5832	Tchem		calycin superfamily	FABPI_HUMAN	P12104
5833	Tchem	Enzyme	peptidase	FACE2_HUMAN	Q9Y256
5834	Tbio			FAIM1_HUMAN	Q9NVQ4
5835	Tdark	Enzyme		FAKD1_HUMAN	Q53R41
5836	Tdark	Enzyme		FAKD3_HUMAN	Q14CZ7
5837	Tbio	Enzyme		FAN1_HUMAN	Q9Y2M0
5838	Tbio			FANCC_HUMAN	Q00597
5839	Tbio			FANCG_HUMAN	O15287
5840	Tbio			FANCM_HUMAN	Q8IYD8
5841	Tdark			FAXC_HUMAN	Q5TGI0
5842	Tbio			FBF1_HUMAN	Q8TES7
5843	Tbio	Enzyme		FBH1_HUMAN	Q8NFZ0
5844	Tbio			FBW1B_HUMAN	Q9UKB1
5845	Tdark			FBX46_HUMAN	Q6PJ61
5846	Tbio			FBX7_HUMAN	Q9Y3I1
5847	Tbio			FBXL7_HUMAN	Q9UJT9
5848	Tbio			FCG2C_HUMAN	P31995
5849	Tbio			FCGBP_HUMAN	Q9Y6R7
5850	Tchem			FCGR1_HUMAN	P12314
5851	Tbio	Enzyme	NAD(P)-dependent_epimerase/dehydratase_family	FCL_HUMAN	Q13630
5852	Tchem	Kinase	Kinase	FER_HUMAN	P16591
5853	Tchem	Kinase	Kinase	FES_HUMAN	P07332
5854	Tbio			FEZ1_HUMAN	Q99689
5855	Tbio			FGD1_HUMAN	P98174
5856	Tbio			FGD3_HUMAN	Q5JSP0
5857	Tdark			FGD5_HUMAN	Q6ZNL6
5858	Tbio		heparin-binding_growth_factors	FGF17_HUMAN	O60258
5859	Tbio		heparin-binding_growth_factors	FGF23_HUMAN	Q9GZV9
5860	Tbio		heparin-binding_growth_factors	FGF4_HUMAN	P08620
5861	Tbio		heparin-binding_growth_factors	FGF3_HUMAN	P11487
5862	Tbio		heparin-binding_growth_factors	FGF5_HUMAN	P12034
5863	Tchem	Kinase	Kinase	FGR_HUMAN	P09769
5864	Tdark			FHAD1_HUMAN	B1AJZ9
5865	Tdark			FHDC1_HUMAN	Q9C0D6
5866	Tbio			F110C_HUMAN	Q1W6H9
5867	Tdark			F1142_HUMAN	Q9NRY5
5868	Tdark			F117B_HUMAN	Q6P1L5
5869	Tdark			F120S_HUMAN	Q5T036
5870	Tbio			F134B_HUMAN	Q9H6L5
5871	Tdark			F134C_HUMAN	Q86VR2
5872	Tdark			F135B_HUMAN	Q49AJ0
5873	Tdark			F149A_HUMAN	A5PLN7
5874	Tdark			F162B_HUMAN	Q5T6X4
5875	Tdark			F1711_HUMAN	Q5VUB5
5876	Tdark			F172A_HUMAN	Q8WUF8
5877	Tdark			F175B_HUMAN	Q15018
5878	Tdark			F180B_HUMAN	Q6P0A1
5879	Tdark			F181A_HUMAN	Q8N9Y4
5880	Tdark			F186B_HUMAN	Q8IYM0
5881	Tdark			F198B_HUMAN	Q6UWH4
5882	Tdark			F228B_HUMAN	P0C875
5883	Tdark			F231D_HUMAN	Q6ZW35
5884	Tbio	Kinase	Kinase	F261_HUMAN	P16118
5885	Tchem	Kinase	Kinase	F262_HUMAN	O60825
5886	Tdark			F27D1_HUMAN	Q5T7N8
5887	Tdark			F71F2_HUMAN	Q6NXP2
5888	Tdark			F90A5_HUMAN	A8MXJ8
5889	Tdark			F90AC_HUMAN	A8MX19
5890	Tdark			F90AE_HUMAN	P0C7W9
5891	Tdark			F91A2_HUMAN	P0C866
5892	Tdark			FA21D_HUMAN	Q5SRD0
5893	Tdark	IC	IC	FA26D_HUMAN	Q5JW98
5894	Tdark			FA47D_HUMAN	A6NHR8
5895	Tdark			FA50B_HUMAN	Q9Y247
5896	Tdark			FA53C_HUMAN	Q9NYF3
5897	Tdark			FA60A_HUMAN	Q9NP50
5898	Tdark			FA73B_HUMAN	Q7L4E1
5899	Tdark			FA78A_HUMAN	Q5JUQ0
5900	Tdark			FA81A_HUMAN	Q8TBF8
5901	Tdark			FA84B_HUMAN	Q96KN1
5902	Tbio			FA8A1_HUMAN	Q9UBU6
5903	Tbio			FA8_HUMAN	P00451
5904	Tchem	Enzyme	peptidase	FA9_HUMAN	P00740
5905	Tbio	Enzyme		FAAA_HUMAN	P16930
5906	Tbio	Enzyme		FABD_HUMAN	Q8IVS2
5907	Tbio		calycin superfamily	FABP7_HUMAN	O15540
5908	Tbio	Enzyme		FADS1_HUMAN	O60427
5909	Tdark	Enzyme		FADS6_HUMAN	Q8N9I5
5910	Tbio			FAIM3_HUMAN	O60667
5911	Tdark			FAM74_HUMAN	Q5TZK3
5912	Tdark			FAM9B_HUMAN	Q8IZU0
5913	Tchem			FANCF_HUMAN	Q9NPI8
5914	Tbio	Enzyme		FANCL_HUMAN	Q9NW38
5915	Tdark		calycin superfamily	FB5L3_HUMAN	A8MUU1
5916	Tdark			FBAS1_HUMAN	Q494R0
5917	Tbio			FBLN1_HUMAN	P23142
5918	Tdark			FBW10_HUMAN	Q5XX13
5919	Tbio			FBX11_HUMAN	Q86XK2
5920	Tbio			FBX31_HUMAN	Q5XUX0
5921	Tbio			FBX38_HUMAN	Q6PIJ6
5922	Tbio			FBX3_HUMAN	Q9UK99
5923	Tdark			FBX47_HUMAN	Q5MNV8
5924	Tdark			FBX50_HUMAN	Q6ZVX7
5925	Tbio			FBX5_HUMAN	Q9UKT4
5926	Tbio			FBXL3_HUMAN	Q9UKT7
5927	Tdark			FBXL4_HUMAN	Q9UKA2
5928	Tbio			FBXW4_HUMAN	P57775
5929	Tbio			FCN3_HUMAN	O75636
5930	Tbio			FCRL1_HUMAN	Q96LA6
5931	Tbio			FCRL3_HUMAN	Q96P31
5932	Tdark			FCSD1_HUMAN	Q86WN1
5933	Tbio	TF	TF	FEZF2_HUMAN	Q8TBJ5
5934	Tbio	GPCR	GPCR	FFAR3_HUMAN	O14843
5935	Tchem	GPCR	GPCR	FFAR4_HUMAN	Q5NUL3
5936	Tbio		heparin-binding_growth_factors	FGF10_HUMAN	O15520
5937	Tdark			FHL19_HUMAN	P0C7X4
5938	Tbio			FHL1_HUMAN	Q13642
5939	Tbio	Enzyme	AAA ATPase	FIGL1_HUMAN	Q6PIW4
5940	Tdark			FITM2_HUMAN	Q8N6M3
5941	Tdark	TF	TF	FIZ1_HUMAN	Q96SL8
5942	Tchem	Enzyme		FKB1B_HUMAN	P68106
5943	Tbio	Enzyme		FKBP3_HUMAN	Q00688
5944	Tbio			EYA2_HUMAN	O00167
5945	Tdark			F122A_HUMAN	Q96E09
5946	Tdark			F124A_HUMAN	Q86V42
5947	Tdark			F131C_HUMAN	Q96AQ9
5948	Tdark			F135A_HUMAN	Q9P2D6
5949	Tdark			F161B_HUMAN	Q96MY7
5950	Tdark			F174A_HUMAN	Q8TBP5
5951	Tbio			F175A_HUMAN	Q6UWZ7
5952	Tdark			F177A_HUMAN	Q8N128
5953	Tdark			F179B_HUMAN	Q9Y4F4
5954	Tdark			F180A_HUMAN	Q6UWF9
5955	Tdark			F181B_HUMAN	A6NEQ2
5956	Tdark			F182B_HUMAN	Q5T319
5957	Tdark			F184B_HUMAN	Q9ULE4
5958	Tdark			F186A_HUMAN	A6NE01
5959	Tdark			F1882_HUMAN	A8MYZ0
5960	Tdark			F196A_HUMAN	Q6ZSG2
5961	Tdark			F19A2_HUMAN	Q8N3H0
5962	Tdark			F205B_HUMAN	Q63HN1
5963	Tdark			F214B_HUMAN	Q7L5A3
5964	Tdark			F223B_HUMAN	A6NKX1
5965	Tdark			F231A_HUMAN	P0DMU4
5966	Tdark			F71E1_HUMAN	Q6IPT2
5967	Tdark			F74A3_HUMAN	Q4VXF1
5968	Tdark			F90A1_HUMAN	Q86YD7
5969	Tdark			F90AD_HUMAN	P0C7W8
5970	Tclin	Enzyme	peptidase	FA10_HUMAN	P00742
5971	Tchem	Enzyme	peptidase	FA11_HUMAN	P03951
5972	Tbio	Enzyme	peptidase	FA12_HUMAN	P00748
5973	Tbio			FA13B_HUMAN	Q9NYF5
5974	Tdark	IC	IC	FA26E_HUMAN	Q8N5C1
5975	Tdark			FA43A_HUMAN	Q8N2R8
5976	Tdark			FA45B_HUMAN	Q6NSW5
5977	Tdark			FA58B_HUMAN	P0C7Q3
5978	Tdark			FA65A_HUMAN	Q6ZS17
5979	Tbio			FA65B_HUMAN	Q9Y4F9
5980	Tdark			FA71B_HUMAN	Q8TC56
5981	Tdark			FA72D_HUMAN	Q6L9T8
5982	Tdark			FA84A_HUMAN	Q96KN4
5983	Tdark			FA98C_HUMAN	Q17RN3
5984	Tchem	Enzyme		FAAH1_HUMAN	O00519
5985	Tdark	Enzyme		FAH2B_HUMAN	Q6P2I3
5986	Tbio			FAM3A_HUMAN	P98173
5987	Tbio			FAP24_HUMAN	Q9BTP7
5988	Tbio	Kinase	Kinase	FASTK_HUMAN	Q14296
5989	Tbio			FATE1_HUMAN	Q969F0
5990	Tbio			FBLI1_HUMAN	Q8WUP2
5991	Tbio			FBLN3_HUMAN	Q12805
5992	Tbio			FBP1L_HUMAN	Q5T0N5
5993	Tbio			FBX17_HUMAN	Q96EF6
5994	Tbio			FBX27_HUMAN	Q8NI29
5995	Tbio			FBX6_HUMAN	Q9NRD1
5996	Tbio			FBXW7_HUMAN	Q969H0
5997	Tbio			FCAR_HUMAN	P24071
5998	Tbio			FCERG_HUMAN	P30273
5999	Tbio			FERM1_HUMAN	Q9BQL6
6000	Tbio			FERM2_HUMAN	Q96AC1
6001	Tbio			FETUA_HUMAN	P02765
6002	Tdark			FGD6_HUMAN	Q6ZV73
6003	Tbio		heparin-binding_growth_factors	FGF19_HUMAN	O95750
6004	Tbio			FGFP3_HUMAN	Q8TAT2
6005	Tclin	Kinase	Kinase	FGFR4_HUMAN	P22455
6006	Tbio			FHL5_HUMAN	Q5TD97
6007	Tbio			FHOD1_HUMAN	Q9Y613
6008	Tbio			FIBP_HUMAN	O43427
6009	Tbio			FL2D_HUMAN	Q15007
6010	Tbio			FLNC_HUMAN	Q14315
6011	Tdark			FA47A_HUMAN	Q5JRC9
6012	Tdark			FA49A_HUMAN	Q9H0Q0
6013	Tdark			FA50A_HUMAN	Q14320
6014	Tdark			FA53B_HUMAN	Q14153
6015	Tdark			FA65C_HUMAN	Q96MK2
6016	Tdark			FA71D_HUMAN	Q8N9W8
6017	Tdark		calycin superfamily	FABP9_HUMAN	Q0Z7S8
6018	Tdark			FACOS_HUMAN	Q96PS1
6019	Tbio	Enzyme		FACR2_HUMAN	Q96K12
6020	Tbio			FADD_HUMAN	Q13158
6021	Tbio	Enzyme		FADS2_HUMAN	O95864
6022	Tdark			FAM27_HUMAN	Q5VT28
6023	Tbio			FAM3B_HUMAN	P58499
6024	Tbio			FARP1_HUMAN	Q9Y4F1
6025	Tbio			FARP2_HUMAN	O94887
6026	Tbio			FAT3_HUMAN	Q8TDW7
6027	Tbio			FBCD1_HUMAN	Q8N539
6028	Tbio			FBLN7_HUMAN	Q53RD9
6029	Tbio			FBN1_HUMAN	P35555
6030	Tbio			FBN2_HUMAN	P35556
6031	Tbio			FBN3_HUMAN	Q75N90
6032	Tdark			FBW12_HUMAN	Q6X9E4
6033	Tdark			FBX30_HUMAN	Q8TB52
6034	Tdark			FBX36_HUMAN	Q8NEA4
6035	Tbio			FBX42_HUMAN	Q6P3S6
6036	Tbio			FBX44_HUMAN	Q9H4M3
6037	Tbio			FBXW8_HUMAN	Q8N3Y1
6038	Tbio			FCG2A_HUMAN	P12318
6039	Tchem			FCGRN_HUMAN	P55899
6040	Tbio			FCRLB_HUMAN	Q6BAA4
6041	Tdark			FDXA1_HUMAN	Q9BRP7
6042	Tdark			FEAS1_HUMAN	Q8NA97
6043	Tdark	TF	TF	FER3L_HUMAN	Q96RJ6
6044	Tbio	TF	TF	FEV_HUMAN	Q99581
6045	Tbio			FGD2_HUMAN	Q7Z6J4
6046	Tchem		heparin-binding_growth_factors	FGF2_HUMAN	P09038
6047	Tclin	Kinase	Kinase	FGFR2_HUMAN	P21802
6048	Tbio			FGRL1_HUMAN	Q8N441
6049	Tbio	Enzyme		FICD_HUMAN	Q9BVA6
6050	Tdark			FITM1_HUMAN	A5D6W6
6051	Tbio			FJX1_HUMAN	Q86VR8
6052	Tbio	Enzyme		FKB14_HUMAN	Q9NWM8
6053	Tdark			FKB9L_HUMAN	Q75LS8
6054	Tdark			FLIP1_HUMAN	Q7Z7B0
6055	Tbio			FLRT3_HUMAN	Q9NZU0
6056	Tbio	Enzyme		FLT3L_HUMAN	P49771
6057	Tdark			FM25C_HUMAN	B3EWG5
6058	Tbio	Enzyme		FMO1_HUMAN	Q01740
6059	Tdark	Enzyme		FMO4_HUMAN	P31512
6060	Tbio	Enzyme		FMO5_HUMAN	P49326
6061	Tbio	Enzyme		FMT_HUMAN	Q96DP5
6062	Tbio			FND3A_HUMAN	Q9Y2H6
6063	Tdark			FNDC4_HUMAN	Q9H6D8
6064	Tbio			FNIP2_HUMAN	Q9P278
6065	Tbio	TF	TF	FOG1_HUMAN	Q8IX07
6066	Tbio			FACD2_HUMAN	Q9BXW9
6067	Tbio	Enzyme		FACR1_HUMAN	Q8WVX9
6068	Tdark	Enzyme		FAH2A_HUMAN	Q96GK7
6069	Tbio	Enzyme		FAHD1_HUMAN	Q6P587
6070	Tchem	Kinase	Kinase	FAK2_HUMAN	Q14289
6071	Tbio			FAM3C_HUMAN	Q92520
6072	Tdark			FAM9A_HUMAN	Q8IZU1
6073	Tdark			FAM9C_HUMAN	Q8IZT9
6074	Tbio			FAP20_HUMAN	Q6NZ36
6075	Tchem	Enzyme		FAS_HUMAN	P49327
6076	Tbio			FAT1_HUMAN	Q14517
6077	Tdark			FAT2_HUMAN	Q9NYQ8
6078	Tbio			FBLN4_HUMAN	O95967
6079	Tdark		calycin superfamily	FBP12_HUMAN	A6NFH5
6080	Tbio	Enzyme	methyltransferase_superfamily	FBRL_HUMAN	P22087
6081	Tdark			FBSL_HUMAN	Q9HCM7
6082	Tdark			FBX10_HUMAN	Q9UK96
6083	Tbio			FBW1A_HUMAN	Q9Y297
6084	Tbio			FBX32_HUMAN	Q969P5
6085	Tdark			FBX34_HUMAN	Q9NWN3
6086	Tbio			FBX43_HUMAN	Q4G163
6087	Tbio			FBXL2_HUMAN	Q9UKC9
6088	Tdark			FBXL6_HUMAN	Q8N531
6089	Tdark			FBXW9_HUMAN	Q5XUX1
6090	Tbio			FCG3B_HUMAN	O75015
6091	Tbio			FCRL2_HUMAN	Q96LA5
6092	Tbio			FCRL5_HUMAN	Q96RD9
6093	Tdark			FCSD2_HUMAN	O94868
6094	Tchem	Enzyme		FDFT_HUMAN	P37268
6095	Tchem	Enzyme	XPG/RAD2_endonuclease	FEN1_HUMAN	P39748
6096	Tbio			FETUB_HUMAN	Q9UGM5
6097	Tdark		heparin-binding_growth_factors	FGF11_HUMAN	Q92914
6098	Tbio		heparin-binding_growth_factors	FGF12_HUMAN	P61328
6099	Tbio		heparin-binding_growth_factors	FGF13_HUMAN	Q92913
6100	Tbio		heparin-binding_growth_factors	FGF16_HUMAN	O43320
6101	Tbio		heparin-binding_growth_factors	FGF18_HUMAN	O76093
6102	Tchem		heparin-binding_growth_factors	FGF1_HUMAN	P05230
6103	Tbio			FGFP1_HUMAN	Q14512
6104	Tbio		heparin-binding_growth_factors	FGF6_HUMAN	P10767
6105	Tclin	Kinase	Kinase	FGFR1_HUMAN	P11362
6106	Tbio			FHL2_HUMAN	Q14192
6107	Tbio			FHR2_HUMAN	P36980
6108	Tbio			FIBB_HUMAN	P02675
6109	Tdark	Enzyme	AAA ATPase	FIGL2_HUMAN	A6NMB9
6110	Tbio	Enzyme	AAA ATPase	FIGN_HUMAN	Q5HY92
6111	Tbio			FIL1L_HUMAN	Q4L180
6112	Tbio			FILA_HUMAN	P20930
6113	Tchem			FINC_HUMAN	P02751
6114	Tdark	Enzyme		FKB11_HUMAN	Q9NYL4
6115	Tdark			FKB15_HUMAN	Q5T1M5
6116	Tbio	Enzyme		FKBP6_HUMAN	O75344
6117	Tdark			FLOWR_HUMAN	Q9UGQ2
6118	Tbio			FMNL1_HUMAN	O95466
6119	Tbio			FMNL3_HUMAN	Q8IVF7
6120	Tbio	Enzyme		FMO3_HUMAN	P31513
6121	Tbio			FMOD_HUMAN	Q06828
6122	Tdark			FMR1N_HUMAN	Q8N0W7
6123	Tchem			FOLR2_HUMAN	P14207
6124	Tbio	TF	TF	FOXG1_HUMAN	P55316
6125	Tbio	TF	TF	FOXE1_HUMAN	O00358
6126	Tbio	TF	TF	FOXJ1_HUMAN	Q92949
6127	Tbio	TF	TF	FOXN2_HUMAN	P32314
6128	Tdark	TF	TF	FOXS1_HUMAN	O43638
6129	Tdark	Enzyme		FAR2L_HUMAN	Q6ZU82
6130	Tbio			FBX21_HUMAN	O94952
6131	Tbio			FBX25_HUMAN	Q8TCJ0
6132	Tbio			FBX33_HUMAN	Q7Z6M2
6133	Tdark			FBX39_HUMAN	Q8N4B4
6134	Tbio			FBX40_HUMAN	Q9UH90
6135	Tbio			FBX4_HUMAN	Q9UKT5
6136	Tbio			FBX9_HUMAN	Q9UK97
6137	Tbio			FBXL5_HUMAN	Q9UKA1
6138	Tbio			FBXW2_HUMAN	Q9UKT8
6139	Tbio			FBXW5_HUMAN	Q969U6
6140	Tbio			FCG2B_HUMAN	P31994
6141	Tdark			FCGRB_HUMAN	Q92637
6142	Tdark			FCHO2_HUMAN	Q0JRZ9
6143	Tdark			FEAS2_HUMAN	Q96M78
6144	Tbio			FEM1B_HUMAN	Q9UK73
6145	Tbio			FETA_HUMAN	P02771
6146	Tbio		heparin-binding_growth_factors	FGF14_HUMAN	Q92915
6147	Tbio		heparin-binding_growth_factors	FGF21_HUMAN	Q9NSA1
6148	Tbio		heparin-binding_growth_factors	FGF20_HUMAN	Q9NP95
6149	Tbio		heparin-binding_growth_factors	FGF9_HUMAN	P31371
6150	Tbio	Kinase	Kinase	FGGY_HUMAN	Q96C11
6151	Tchem	Enzyme	phosphatase	FHIT_HUMAN	P49789
6152	Tdark			FHOD3_HUMAN	Q2V2M9
6153	Tbio			FHR4_HUMAN	Q92496
6154	Tbio			FIBG_HUMAN	P02679
6155	Tbio	TF	TF	FIGLA_HUMAN	Q6QHK4
6156	Tbio	Enzyme		FKB10_HUMAN	Q96AY3
6157	Tdark	Enzyme		FKBP2_HUMAN	P26885
6158	Tchem	Enzyme		FKBP4_HUMAN	Q02790
6159	Tchem	Enzyme		FKBP5_HUMAN	Q13451
6160	Tbio			FKBPL_HUMAN	Q9UIM3
6161	Tbio			FKRP_HUMAN	Q9H9S5
6162	Tbio			FLOT1_HUMAN	O75955
6163	Tclin	Kinase	Kinase	FLT3_HUMAN	P36888
6164	Tdark			FM25A_HUMAN	B3EWG3
6165	Tbio			FMN1_HUMAN	Q68DA7
6166	Tbio			FMNL2_HUMAN	Q96PY5
6167	Tbio			FND3B_HUMAN	Q53EP0
6168	Tdark			FOCAD_HUMAN	Q5VW36
6169	Tchem	Enzyme		FOLC_HUMAN	Q05932
6170	Tchem	Enzyme	peptidase	FOLH1_HUMAN	Q04609
6171	Tdark	Enzyme		FONG_HUMAN	E5RQL4
6172	Tbio	TF	TF	FOXE3_HUMAN	Q13461
6173	Tdark	TF	TF	FOXI2_HUMAN	Q6ZQN5
6174	Tbio	TF	TF	FOXC2_HUMAN	Q99958
6175	Tbio	TF	TF	FOXP3_HUMAN	Q9BZS1
6176	Tchem	GPCR	GPCR	FPR1_HUMAN	P21462
6177	Tchem	GPCR	GPCR	FPR2_HUMAN	P25090
6178	Tbio			FPRP_HUMAN	Q9P2B2
6179	Tbio			FRAS1_HUMAN	Q86XX4
6180	Tdark			FRAT2_HUMAN	O75474
6181	Tchem	Kinase	Kinase	FRK_HUMAN	P42685
6182	Tbio			FRPD1_HUMAN	Q5SYB0
6183	Tbio			FRPD2_HUMAN	Q68DX3
6184	Tdark			FSCB_HUMAN	Q5H9T9
6185	Tbio			FSD1_HUMAN	Q9BTV5
6186	Tdark			FSD2_HUMAN	A1L4K1
6187	Tclin	GPCR	GPCR	FSHR_HUMAN	P23945
6188	Tdark			FSIP2_HUMAN	Q5CZC0
6189	Tdark			FCAMR_HUMAN	Q8WWV6
6190	Tchem			FCER2_HUMAN	P06734
6191	Tbio			FCERA_HUMAN	P12319
6192	Tdark			FCGRC_HUMAN	A6NKC4
6193	Tbio			FCN1_HUMAN	O00602
6194	Tbio			FCN2_HUMAN	Q15485
6195	Tdark			FCRL6_HUMAN	Q6DN72
6196	Tbio			FDSCP_HUMAN	Q8NFU4
6197	Tbio			FEM1A_HUMAN	Q9BSK4
6198	Tbio			FEZ2_HUMAN	Q9UHY8
6199	Tbio	TF	TF	FEZF1_HUMAN	A0PJY2
6200	Tchem	GPCR	GPCR	FFAR1_HUMAN	O14842
6201	Tchem	GPCR	GPCR	FFAR2_HUMAN	O15552
6202	Tbio			FGD4_HUMAN	Q96M96
6203	Tdark			FGFP2_HUMAN	Q9BYJ0
6204	Tbio		heparin-binding_growth_factors	FGF8_HUMAN	P55075
6205	Tbio			FGL1_HUMAN	Q08830
6206	Tbio			FGL2_HUMAN	Q14314
6207	Tdark			FIBIN_HUMAN	Q8TAL6
6208	Tbio	Enzyme	phosphatase	FIG4_HUMAN	Q92562
6209	Tbio			FIP1_HUMAN	Q6UN15
6210	Tbio			FIS1_HUMAN	Q9Y3D6
6211	Tbio	Enzyme		FKBP7_HUMAN	Q9Y680
6212	Tbio	Enzyme		FKBP8_HUMAN	Q14318
6213	Tbio			FKTN_HUMAN	O75072
6214	Tbio	TF	TF	FLI1_HUMAN	Q01543
6215	Tbio			FLOT2_HUMAN	Q14254
6216	Tbio			FNBP1_HUMAN	Q96RU3
6217	Tdark			FNDC1_HUMAN	Q4ZHG4
6218	Tdark			FNDC7_HUMAN	Q5VTL7
6219	Tdark			FOPNL_HUMAN	Q96NB1
6220	Tbio	TF	TF	FOSL2_HUMAN	P15408
6221	Tbio	TF	TF	FOXB1_HUMAN	Q99853
6222	Tdark	TF	TF	FOXD4_HUMAN	Q12950
6223	Tbio	TF	TF	FOXF1_HUMAN	Q12946
6224	Tbio	TF	TF	FOXD3_HUMAN	Q9UJU5
6225	Tbio	TF	TF	FOXL2_HUMAN	P58012
6226	Tbio	TF	TF	FOXN3_HUMAN	O00409
6227	Tbio	TF	TF	FOXO4_HUMAN	P98177
6228	Tbio	TF	TF	FOXO1_HUMAN	Q12778
6229	Tbio			FRG1_HUMAN	Q14331
6230	Tdark			FRITZ_HUMAN	O95876
6231	Tbio			FSCN1_HUMAN	Q16658
6232	Tbio			FSTL3_HUMAN	O95633
6233	Tbio			FST_HUMAN	P19883
6234	Tbio	Enzyme		FUMH_HUMAN	P07954
6235	Tbio	Enzyme	glycosyltransferase	FUT3_HUMAN	P21217
6236	Tbio	Enzyme		FUT8_HUMAN	Q9BYC5
6237	Tdark	TF	TF	FX4L6_HUMAN	Q3SYB3
6238	Tbio		heparin-binding_growth_factors	FGF22_HUMAN	Q9HCT0
6239	Tbio		heparin-binding_growth_factors	FGF7_HUMAN	P21781
6240	Tclin	Kinase	Kinase	FGFR3_HUMAN	P22607
6241	Tbio			FGOP2_HUMAN	Q9NVK5
6242	Tdark			FHL17_HUMAN	Q9BXU8
6243	Tbio			FHL3_HUMAN	Q13643
6244	Tbio			FHR3_HUMAN	Q02985
6245	Tbio			FIBA_HUMAN	P02671
6246	Tbio			FILA2_HUMAN	Q5D862
6247	Tdark	Enzyme		FKBP9_HUMAN	O95302
6248	Tbio			FLNA_HUMAN	P21333
6249	Tbio			FLRT2_HUMAN	O43155
6250	Tdark			FLTOP_HUMAN	Q5VTH2
6251	Tdark			FNBP4_HUMAN	Q8N3X1
6252	Tbio	Enzyme		FNTA_HUMAN	P49354
6253	Tbio	Enzyme		FNTB_HUMAN	P49356
6254	Tbio	TF	TF	FOS_HUMAN	P01100
6255	Tbio	TF	TF	FOXA1_HUMAN	P55317
6256	Tbio	TF	TF	FOXA2_HUMAN	Q9Y261
6257	Tdark	TF	TF	FOXD2_HUMAN	O60548
6258	Tbio	TF	TF	FOXC1_HUMAN	Q12948
6259	Tbio	TF	TF	FOXF2_HUMAN	Q12947
